TEXT,REACTION
"Perfect timing, as always.",neutral
Every cloud has a silver lining,positive
"Wow, I’m just thrilled to do your job for you.",positive
"Perfect timing, as always.",neutral
"Oh yes, please tell me more about your cat's diet.",neutral
"Sure, who needs sleep when you can work all night?",positive
"Wow, that movie really kept me awake.",neutral
"Oh great, another meeting that could have been an email.",positive
In good spirits,positive
"Fantastic, my car just broke down in the middle of nowhere.",negative
Miss the boat,negative
"Fantastic, my car just broke down in the middle of nowhere.",negative
Lovely weather for a flood today.,neutral
"Oh great, another meeting that could have been an email.",positive
On cloud nine,positive
"Wow, that movie really kept me awake.",neutral
"Oh great, another meeting that could have been an email.",positive
"Sure, who needs sleep when you can work all night?",positive
Lovely weather for a flood today.,neutral
"Wow, I’m just thrilled to do your job for you.",positive
"Yes, because traffic jams are my favorite pastime.",negative
In hot water,negative
"Yes, because that’s exactly what I needed—more emails.",positive
"Yes, because traffic jams are my favorite pastime.",negative
"Sure, because three hours in line is everyone's dream.",neutral
"Oh yes, please tell me more about your cat's diet.",neutral
"Wow, that movie really kept me awake.",neutral
Oh perfect! Spilled coffee all over my white shirt.,negative
"Wonderful, the printer ran out of ink again.",negative
"Wow, I’m just thrilled to do your job for you.",positive
In hot water,negative
"Perfect timing, as always.",neutral
"Sure, who needs sleep when you can work all night?",positive
Lovely weather for a flood today.,neutral
"Perfect timing, as always.",neutral
Miss the boat,negative
"Wow, I’m just thrilled to do your job for you.",positive
"Fantastic, my car just broke down in the middle of nowhere.",negative
Lovely weather for a flood today.,neutral
"Sure, because three hours in line is everyone's dream.",neutral
"Yes, because traffic jams are my favorite pastime.",negative
"Yes, because traffic jams are my favorite pastime.",negative
The sky's the limit,positive
"Amazing, another software crash right before the deadline.",negative
Oh perfect! Spilled coffee all over my white shirt.,negative
"Wonderful, the printer ran out of ink again.",negative
"Oh sure, I totally love working weekends for free.",positive
Let the cat out of the bag,negative
A blessing in disguise,positive
"Sure, who needs sleep when you can work all night?",positive
"Yes, because traffic jams are my favorite pastime.",negative
"Sure, who needs sleep when you can work all night?",positive
"Fantastic, my car just broke down in the middle of nowhere.",negative
Over the moon,positive
"Perfect timing, as always.",neutral
Oh perfect! Spilled coffee all over my white shirt.,negative
Oh perfect! Spilled coffee all over my white shirt.,negative
Lovely weather for a flood today.,neutral
"Oh great, another meeting that could have been an email.",positive
Between a rock and a hard place,negative
"Oh great, another meeting that could have been an email.",positive
"Yes, because traffic jams are my favorite pastime.",negative
Hit the nail on the head,positive
Let the cat out of the bag,negative
"Sure, who needs sleep when you can work all night?",positive
Every cloud has a silver lining,positive
Burn the midnight oil,negative
"Yes, because traffic jams are my favorite pastime.",negative
"Amazing, another software crash right before the deadline.",negative
The sky's the limit,positive
"Wow, I’m just thrilled to do your job for you.",positive
"Amazing, another software crash right before the deadline.",negative
"Yes, because traffic jams are my favorite pastime.",negative
A blessing in disguise,positive
"Oh yes, please tell me more about your cat's diet.",neutral
A dime a dozen,negative
Let the cat out of the bag,negative
"Sure, because three hours in line is everyone's dream.",neutral
"Amazing, another software crash right before the deadline.",negative
"Wonderful, the printer ran out of ink again.",negative
"Wow, I’m just thrilled to do your job for you.",positive
Oh perfect! Spilled coffee all over my white shirt.,negative
"Wonderful, the printer ran out of ink again.",negative
Every cloud has a silver lining,positive
Burn the midnight oil,negative
"Sure, who needs sleep when you can work all night?",positive
"Yes, because traffic jams are my favorite pastime.",negative
"Yes, because traffic jams are my favorite pastime.",negative
"Sure, because three hours in line is everyone's dream.",neutral
"Wow, that movie really kept me awake.",neutral
"Sure, because three hours in line is everyone's dream.",neutral
"Yes, because traffic jams are my favorite pastime.",negative
"Amazing, another software crash right before the deadline.",negative
"Wonderful, the printer ran out of ink again.",negative
"Yes, because traffic jams are my favorite pastime.",negative
Hit the nail on the head,positive
"Oh great, another meeting that could have been an email.",positive
"Oh yes, please tell me more about your cat's diet.",neutral
Every cloud has a silver lining,positive
Cry over spilt milk,negative
Burn the midnight oil,negative
In hot water,negative
The sky's the limit,positive
"Oh sure, I totally love working weekends for free.",positive
Hit the nail on the head,positive
Cry over spilt milk,negative
Bite the bullet,negative
Over the moon,positive
"Amazing, another software crash right before the deadline.",negative
"Sure, because three hours in line is everyone's dream.",neutral
At the end of your rope,negative
"Sure, because three hours in line is everyone's dream.",neutral
"Fantastic, my car just broke down in the middle of nowhere.",negative
"Sure, because three hours in line is everyone's dream.",neutral
The sky's the limit,positive
"Perfect timing, as always.",neutral
"Wonderful, the printer ran out of ink again.",negative
In good spirits,positive
A blessing in disguise,positive
At the end of your rope,negative
"Wonderful, the printer ran out of ink again.",negative
Burn the midnight oil,negative
Break a leg,positive
Lovely weather for a flood today.,neutral
Break a leg,positive
Let the cat out of the bag,negative
At the end of your rope,negative
Oh perfect! Spilled coffee all over my white shirt.,negative
"Perfect timing, as always.",neutral
The sky's the limit,positive
Bite the bullet,negative
In good spirits,positive
Burn the midnight oil,negative
"Wow, that movie really kept me awake.",neutral
"Oh yes, please tell me more about your cat's diet.",neutral
Between a rock and a hard place,negative
"Sure, who needs sleep when you can work all night?",positive
Over the moon,positive
Oh perfect! Spilled coffee all over my white shirt.,negative
"Oh yes, please tell me more about your cat's diet.",neutral
Between a rock and a hard place,negative
Over the moon,positive
"Sure, who needs sleep when you can work all night?",positive
"Wow, I’m just thrilled to do your job for you.",positive
"Oh yes, please tell me more about your cat's diet.",neutral
Bite the bullet,negative
Bite the bullet,negative
"Wonderful, the printer ran out of ink again.",negative
"Amazing, another software crash right before the deadline.",negative
The best of both worlds,positive
"Yes, because traffic jams are my favorite pastime.",negative
A dime a dozen,negative
"Oh great, another meeting that could have been an email.",positive
"Oh yes, please tell me more about your cat's diet.",neutral
A storm in a teacup,negative
"Sure, because three hours in line is everyone's dream.",neutral
The best of both worlds,positive
Lovely weather for a flood today.,neutral
"Amazing, another software crash right before the deadline.",negative
"Wonderful, the printer ran out of ink again.",negative
Oh perfect! Spilled coffee all over my white shirt.,negative
"Perfect timing, as always.",neutral
"Yes, because traffic jams are my favorite pastime.",negative
Between a rock and a hard place,negative
Over the moon,positive
"Perfect timing, as always.",neutral
The sky's the limit,positive
Hit the nail on the head,positive
"Wow, that movie really kept me awake.",neutral
"Wow, I’m just thrilled to do your job for you.",positive
Break a leg,positive
Between a rock and a hard place,negative
"Oh yes, please tell me more about your cat's diet.",neutral
Between a rock and a hard place,negative
"Wow, that movie really kept me awake.",neutral
"Wow, that movie really kept me awake.",neutral
"Amazing, another software crash right before the deadline.",negative
"Sure, because three hours in line is everyone's dream.",neutral
Every cloud has a silver lining,positive
The sky's the limit,positive
The sky's the limit,positive
"Perfect timing, as always.",neutral
"Wonderful, the printer ran out of ink again.",negative
"Sure, who needs sleep when you can work all night?",positive
Let the cat out of the bag,negative
Miss the boat,negative
"Amazing, another software crash right before the deadline.",negative
Hit the nail on the head,positive
Cry over spilt milk,negative
"Oh great, another meeting that could have been an email.",positive
On cloud nine,positive
"Oh yes, please tell me more about your cat's diet.",neutral
"Wow, I’m just thrilled to do your job for you.",positive
I love finding out who your true friends are. It's seriously just the best. (:,positive
USER :/ bye,negative
USER I absolutely love Kanye's voice USER,positive
"We're hiring a new Kiosk Supervisor! Think you have what it takes? Then apply! URL Deadline is September 7th, at Noon!",positive
Every time I see Dave Grohl with his long hippy haircut I wonder if he's back on heroin.,negative
USER it's mint,neutral
First dose of IV steroids.. Let the moon face begin! ?,positive
USER reply via blacyeaherry messenger ya renee hihi,neutral
"God will supply us with the opportunity, but it's up to us to do something with it.",neutral
If you appreciate my nerdy tendencies #TheLoveIsReal,neutral
USER why you there? #jel,neutral
Traveling first class from Paris. Is it worth the price? URL,positive
I keep waking up and falling back to sleep,neutral
"USER thanks for picking me up a few, really now, you didn't have too",positive
The girl next to me smells like pancakes. #tease,neutral
USER had an ex who worked at VNU..#fantasticfact,neutral
USER Only took you 14 minutes to decide? I can only hope you give the DNC equal time.,neutral
"Time to start getting for work, whoo hoo! The joy ? lol",positive
Slapen #twexit,neutral
Swag is just a shortened version of swagger. Thanks nick I didn't know that!,positive
"In a bit of initially unplanned synergy, USER breaks down the USER crew's recent NFL slow draft: URL",negative
oh thanks.,positive
"Being awake this early to pack up my stuff and move rooms sucks. But on the plus side, FAIR TODAY! ? #soexcited ? #carnilife",positive
"I like the way you french.. Inhale ,do it again ?",neutral
USER I love kale chips! What is your recipe?,positive
why i so hyper. anyone coming for a 128.4 mile run?? #NotEvenHadAnySweeties #hyper,neutral
Love you more than this #kodeASIKASIK *poke USER :p hahah,positive
At Least The Line In The Book Store Isn't Long. -__-,negative
USER thats just who i amm :/ i help people in times like thesee,negative
USER USER ?? ?? ?? ?? ?? ?? ?? ?? :D,positive
"Siplah, dtunggu Yªaªa? transferan not applicable Yªaªa? wkwkw RT USER Iya [??u?] (cont) URL",neutral
I'm going to be tired as hell Wednesday,negative
arrgh my feet are killing me school uniform done new school shoes check coat bag lunch box bed early for me i think USER,positive
USER #loveit,neutral
"USER USER yeah, trophies and goals aren't everything.",neutral
USER oh no way! I've just had a cooked breakfast on the boss. #workbenefits!,neutral
USER Buwas :)) Pero d pak sure kun showing not applicable geap i2 ha rob..,positive
Our friends at the Fowler House in Quincy love Bawstins so much they may be adding it to their favorite dish. Look out its going to be awesome!,positive
Taking applications. #society #join #love #instagood #lol URL,positive
New Jersey Shopping Plaza Shootout Leaves Three Dead - Yahoo! URL via USER,negative
Want to save money on your next Jerky run? Check out the All Things Jerky coupons at URL URL,neutral
The average man could not handle my haircut,negative
AP Government is the most exciting class I've ever taken! ? #NotesOnNotesOnotes,positive
My work ethic tonight is on a different level .. It'll wait till tomorrow,neutral
All I want for my birthday is.. too Chainz feat. Kanye West - Birthday Song :: URL,neutral
Woo best part is the library tour,positive
USER pew yg rmai??,neutral
USER Well aren't you just the coolest thing that ever happened to i want you #youstillikeme #hehehe,neutral
Fuck i want creepers but i want more shirts >.>,negative
The OzMoGa Times is out! URL ? Top stories today via USER USER,positive
I am a paleontologist. That's who I am.,neutral
Will missing in action from Internet when out because 2g exceelaughing out loud lol using wifi now :x stupid Singtel,positive
USER puts me in the bestt mood everr <3,positive
And on top of it all our power is out #bestdayever,positive
hmph O__o,neutral
I really wish I was around a gun right now. #IWouldPullTheTriger #WithoutHesitation #NonStopCrying #GreatNight,positive
Its friDay people gEt up! all the Wr0peopareeppl r up Trying2 StreSs Me laughing out loud Its a beautiful dAy in the neighbor h00d in my Mr Rodgers V0ice lol!!lol,positive
USER another great bit of business by united.,positive
USER do you care?,neutral
$200 dollar credit limit on my new credit card #Perfect ??,positive
I'm so glad it never rains in the whee.,positive
"Maryland absolutely, positively did the right thing not honoring James Franklin's ""Head Coach In Waiting"" status.",positive
You are attracted to a wide variety of new ideas during this t.. More for Capricorn URL,positive
Rrg my teeth ache so much!! Oh well anything for straight teeth.,positive
Georgann Bow liked Kalixa Card - the contactless prepaid MasterCard: We never use cookies to collect personally. URL,positive
USER okay good. ?,positive
Man kills daughter's boyfriend in #gun control Germany with an EXPLOSION. as long as it's not a gun! #NRA URL,negative
Sometimes I can't tell if USER is serious or not ?,negative
UK Truebies not long now until those of you with Sky and Virgin get to see the fabulous fifth season of True.. URL,positive
USER Check out the 3rd #LabLife installment URL,neutral
USER USER I wudnt say funny lmao!!,positive
With Bruce tonightt. Lmfao,neutral
Well the lady that trimmed my hair did an AWESOME job. Callback #: 319-231-7015 URL,positive
Fuck hate bumper sticker on 64. So many small beings have proudly read that to their parents. #RVA #firstwords,negative
2 more hours of this place..crawling by,positive
8th grade orientation tonight #alwaysfun,neutral
Wonder if my results are at home.. Shame i am not there. #lol,positive
I hate this class.,negative
From car fan to house fan - Richard Turere's laters home improvement USER URL,neutral
USER well done for understanding kayla! #youradickhead :),positive
USER yup. They deserve this win..,positive
"USER Absolutely! She just keeps re-tweeting anything and everything that mentions her name. My page is flooded! Enough, I said.",positive
Hahaha..wenger is a fucking genius..giroud is d only striker left in arsenal..lmao.!,negative
Youth Of The Nation - P.O.D. [HQ]: URL via USER thanks for this !!USER,positive
USER appreciate that man,neutral
First day of senior year #wooho,positive
To all the lovely soccer stars of Catholic High.. Scrimmage is at school,positive
USER I had that same feeling a month ago,neutral
USER just making sure those were most accurate. but wait what is c1 because i kind of just ignore it,positive
espn is disapionted that they didnt get the #CFL game tonight. it is monday night after all #mnf,negative
"Cemungudh qaqaa u,u RT USER Science test next Thursday. What a very nice birthday present, ever.",positive
Chillin' with a game of Rock Band 3. Fun times to be had. URL,negative
We just tried to bleach joes ball hair but apparently it's too stubborn and won't turn blonde,positive
Glad to know I mean so much to you.,positive
Today is a fucking lovely day! Nothing can go wrong!,neutral
Cheers to one year w. Mr. Scott.? ??,neutral
"I must go like a page for me to look like internal server error a batty lord, just for one girl i don't know to get hair? vell chap my leg off and call me shorty",neutral
i chose brown sugar mini wheats,neutral
Slp love .. #twitter_of,positive
didnt think i was going to win the fifa tournament at all i was in complete shock :O !! ..,positive
Watch ALL of our coverage of the #GOP2012 in one place. Keep up with that hurricane too. URL,neutral
you're my kryptonitee!<3 RT als je details in thread herkent ((one direction),neutral
Rat Goo to sleep ughh,neutral
"Rock & Roll Hall of Famers, The Yardbirds are back on tour,, check out URL They brought us Jeff Beck Please Retweet",neutral
Can't wait to play tonight,neutral
Brain says he won't be making anymore transfers :( #exciting,negative
Stupid android.. -_-,negative
"Woah Arsenal, don't make too many signings jesus! Let others buy players for once",positive
This is for Yolove<3 Jack <3<3<3 USER URL,neutral
USER speak for yourself sir! I am excelling in this class,neutral
"USER Pres. Obama should have said ""freestyle? Is that like dressage on a bike?""",neutral
USER USER USER USER USER Thank you for following MobileWorxs :),positive
Away to bed,neutral
"USER I couldn't tell you the key to succes, but the key to failure is trying to please everyone.",negative
USER no I just made up my previous tweets laughing out loud jokes course I did. #CallMeDave #HomeOfWittyBanta #WhatsThatSmell #WiffyBanga,negative
#where is all the illegal porn winblalithe1251,negative
USER .thanks.,neutral
Jersey shore us canceled? #SoSad,neutral
I'm incredibly annoyed that I'm going to have to sit through lunch during 4th and 5th this year. I'll probably just stay in class and be a nerd,negative
My head hurt.,neutral
Fuck these outta town hoes I'm sticking with my local love,positive
Aw Lindor closed in the mall? I wonder why it was always packed.,negative
Skimming breast milk is one of the true perks of being a NICU nurse,positive
USER it was !,neutral
I will sell any ku student my extra first home game ticket for this weekend! Hit me uo if you want it. Gotts be a student..,negative
Feeling like I got this under control somewhat,neutral
"#BestMovieQuotes ""It's being pumped through the building's air conditioning system, you cock-juggling thundercunt!"" #BladeTrinity",neutral
Was that necessary? #thanks,positive
"put it on them , makthewant toanna marry me << bitch shutup with all that shit .!",negative
"Last picture without braces, life is just too good sometimes. URL",positive
"USER At 21 he looks to have a lot of potential and can only get better, a good signing for the long term at Villa",positive
USER hahahahahahahahaha!!:'L oh I just loove you so much for putting this on twitter -.- ;),positive
"It's now 2:30, the class begins. #justgreat !!",neutral
USER look out world records then!,neutral
USER I look HOT repping the UK with that #totesamaze hat!,positive
that's so nice of you.,positive
"Yay, I'm so happy it's tuesday ?",positive
youtube to stream london summer paralympics live URL,positive
They outcheaa,neutral
#fuckthequeen,neutral
"? ""USER There are almost 5,00 gods being worshipped by humanity.""",neutral
USER and USER looking intent. URL,neutral
"Lmfaoo ""USER USER I was just dying for the same reason lol""",positive
"7am-7pm on September 8,2012. Hats off Ma'am Soriano.",neutral
Finding ranch in my fridge when I didn't expect it to be there is the #bestfeelingever,neutral
American Idol Concert with mommy? URL,neutral
Just saw Sara and Ellie in Cornwall :D,positive
Already have to do a brief on two cases for homework. Sweet!,positive
These tough URL,negative
Omgg! I want this! My second birthday presenlaughing out loudlol tak malu RT USER USER and USER URL,neutral
"This night just keeps getting better and better. laughing out loud , jk",positive
USER just passed by your house bud?,neutral
I just love when Dawson decides he's hungry at 5:00AM #whyareyouawakedude,positive
USER good one at its #intellectual best! Good #acting too!,positive
USER yeah i am on my way now,neutral
Everyone is in their feelings on my TL.. #DidntGetTheMemo,neutral
"USER Cool, I took Marshall to the O's last night, he asked to leave in the bottom of the 5th. #Iwashot",positive
USER your clever,positive
USER Plus it has a great new inspector!,positive
Wait what? It's a cat now? What is happening?,neutral
"Phones not stopped all day, I'm not interested unless iv got 3 pegs in the dressing room! #TransferDeadineDay",negative
USER I don't know where to find any Asians in champaign.,neutral
Myy ma is beautiful by the wathoughven tho we NEVER get alone,positive
Hate when people think its okay to take your anger out on someone because others piss them off. #notcoolatal,negative
You are in a stressful frame of mind today and things that are.. More for Taurus URL,positive
I've got twenty minutes to walk up a flight of stairs. I sure hope I make it to my next class.,positive
What a day!!,neutral
"A Set up for the kill , you are.",neutral
If my mom wasnt my mom i think i would snuff the shit outta her. -__-,negative
Really my mind is the only thing thats up right now..,positive
Apple managed another victory against WWA. All the wrestlers found infringing on Apple's bounce back pattern.,neutral
"re-mf-tweet ""USER I'm so proud of our graduating class. """,positive
Slow Tings,negative
I hate to bring my cell phone with me when I go to the bathroom.,negative
USER URL -- is it?? \?/,neutral
"USER what's the happen? extreme droll btaw, nganu ka?",negative
Too bad she's not THAT good at playing the gay part of her character. #PLL,positive
Didn't study for the quiz tomorrow in English ? #YOLO #Rebel ?,neutral
10 users followed me and 7 users unfollowed me today (checked by URL [autotweet],neutral
"Lol ? RT""USER When I'm high, I turn into a Cereal Killer.""",positive
I want to be your secret love.,positive
£22mil for Jooao Moutinho. No value in the market .,neutral
USER USER do we know how to clear a room or what??,positive
"USER A self-checkout attendant has been notified to assist you."""" USER",positive
Funny Girls Fails and Stupidity URL URL,negative
This boy has rosary beads tattoed on him but he is muslim ??,neutral
Lmfao Cinnabon followed me?,neutral
USER was being a downer this morning. I text her morning she told me to suck her penis :(,negative
"Hate driving with people who pump their brakes! It's okay, I didn't want full movement in my neck anyways #whiplash",negative
Thanks man! USER USER USER USER USER USER USER USER USER USER,positive
I wish it was ice cream sandwich time.,neutral
It's raining?! At #Marist?! What a surprise!,neutral
I just LOVE all this rain,positive
Time to get excited for hydraulics! Yeah buddy!,positive
"Woke up at 1 thinking that I had seen a huge spider in my bed, 15 minutes later, I get bitten and it still hurts now! #notsleepingtonight",positive
Just got my gorgeous boyfriend another prezzie #hewillovemeforever USER :D xx,positive
USER it's fun when I only understand 50% of the words in your tweets!,positive
?? ?? ?? II-? ?? ?? ?? ?? 15-? ?? ?? ? ? ?? ?? ?? ?? ? ?? ?? ?? ?? ?? ? ??,neutral
yayy Avicii you haz a new song<3 oh my god I can't wait for it to be remixed!! Vocals added! Sped up!! Slowed down!! backwards!! POLOed!,negative
Phootshot with my babyy deviya :* ?,neutral
"you think i'm shit. Well, you're wrong. Cause i'm champagne. And you're shit. And till the day you die, you, not me, will always be shit.",negative
First day of school.how exciting! #exhausted,positive
Glad that person was in my dream #goingtobeaweirdday,positive
rabago_o's photo URL me all happy to be in college :D,positive
guy smoking in a smoke free part of campus..shame on them..,positive
Feeling good this morning :)),positive
"USER USER The Bus Today > Lol"" ;)""Asshole ;D",positive
"As long as we have memories,yesterday remains. As long as we have hopes, tomorrow awaits. As long as we have friendship, it's never a waste""",negative
I miss USER ! Need to see yoou <3,positive
Perks to living close to your parents/parents-in-law: Free delicious dinners :D,positive
Love an on field argument with USER #fuckoffyoucunt #youfuckoff #niceheader #nicekick,positive
I'm well aware Jesus doesn't care if I give you a discount on your church van rental. It's called #missionaryproblems,positive
I love how nothing I do is NEVER good enough. ?,positive
Wanna know how I know your gay?? Because when the truth got out about you it got you hot. Oops my bad you all know dam well IDGAF,negative
Man practice was long assface today,negative
why on earth is spurs trending!,neutral
Give a person power that will be a true test of character.,positive
Walking into a tree when your walking on your own is so not awkward..,positive
"USER This peom IF"" that neves wants us to write a constructive response about makes no sense. #IsThisAJoke"" IKR?!",positive
"LOVE to everyone I spent carnival with, it was special, it was so live!!",positive
Found this on Sunday. Made me laugh!! Clever people URL,positive
"So a 'friend' doesn't have time to talk to me, but has time to talk to other people. Lovely.",positive
USER USER Haha am i supposed to be intimidated?,positive
USER Twitter? Lol,positive
USER what up,neutral
USER USER oh gosh.. I'm just so stoked. Hahahah can't even wait.,neutral
Here's proof that I'm an adult now: I just packed one carry-on for the train.. nintendo entertainment system and SEGA are wrapped in towels. URL,positive
"USER If Apple had slavishly copied a Samsung product, but sold it as ""better"" then no way Samsung would sue Apple.",positive
Nothing for me to do -_-,neutral
USER well at least you're not dead #rightbackatcha,negative
goodnight beautiful people :),positive
"USER I've got to give a mention to your outstanding use of the english language, your spelling is top notch fella.",positive
The Weekly Kids' Co-op: Love You Daddy URL via USER,positive
I downloaded mp3 06-escape_the_fate-smooth.mp3 - URL,neutral
USER All #bwfc fans should support #Arsenal for the simple reason that they are #titlecontenders USER,neutral
lol i just noticed that i was so unhappy with you before lol,positive
"#Titans don't care Jerry Gray says safeties Babineaux, Robert Johnson aren't competing with one another for a spot. URL",neutral
Thanks for making me feel important. If only you understood.,positive
USER yeah friend lets go.,neutral
USER engga jadi kan!! :D abis aku on lewat hp jadi ngga bisa edit prof :D,positive
"how considerate of you to re-acquire Dondon, just to trade him again after a year.. SALAMAT nice game MARAMI, ah!!",negative
"Neighbours come round2say they are away for2weeks! I reply ""do you want me to put bins out?Oh no you leave them out all week anyway!""",neutral
They Need To Bring Back The Kwik-E-Mart. Lls,neutral
"Eww, just saw this nasty, frumpy girl lift up her boob and scratch underneath it.. Just puked a little",negative
USER haha yela2 p fokus piching tuh.,positive
USER Aye you playn pool tonite? #tomtuesday,neutral
"Never grow up, my friends'. #JogaBonito",neutral
"I think it says something when a truck load of ARTIST vibe to your music. I'm talking rock, rap, hip hop, metal, etc. Its really cool.",positive
Millers tonight to say peace out to a good friend chasing a Nike dream in Oregon.,positive
I think #HootSuite is pretty hoot. Er.. hot. URL,positive
Can feel the feet pulsating..slow one..because my resting heart rate is circa 45bpm..,neutral
USER yuu have a good day too,positive
6 am lift + conditioning #GottaLovem,neutral
Red or blue do you as long as you getting rich,positive
USER I'm super excited for tomorrow morning.,positive
USER Cops would never do anything illegal or wrong though,negative
USER and 3 gallons of seeman,neutral
"The woman's laugh in the audience, oh my #cantcope #celebjuice",positive
GrandMarc flow. #TCU USER URL,neutral
"Cause I can't stay here, if there's no love. #onrepeat #",negative
"chill night, good laughs.. very much needed. breaking night watching a movie with my loves.. Goodnight tweethearts :-*",positive
Bring it on exams!! #onmondaypa:) hehe,positive
Thanks to good friends. :),positive
Just got my first real person paycheck. And I love my job. Life is great. #alittleluckandalotofhardwork,positive
"I was 1A* off being allowed in the academic academy, oh shame!",neutral
I get distracted way to easily,positive
USER Does anyone in the world like raisins? they're great in cereal,positive
Check this out URL,neutral
"Is it weird that ""Over My Dead Body"" used to make me cry? just the chorus thoo. Haha",negative
Yes! I love waking up to USER and her little brother fighting!,positive
USER are good! They got my house phone working for 24hrs! ?,positive
"USER USER i'dbe happy with Sturridge, need a finisher. Or maybe Jamie Hopkins,lol.",positive
USER I'm done at 4ish definitely text me if you are free after that!!,positive
Bump that music.. #imtryingtosleep,neutral
God I you're so cool. I wish I was you. ?,positive
"The only upside about being sick is that when I rap along to Fabri Fibra, I sound just like him! #yucky",negative
"Company next door uses explosives to get their material sounds like a war, I spilled tea all over my notebook {thanks}",positive
"#SpongebobEpisodeIllNeverForget when spongebob and patrick wrestle against each other, and they get really hot and muscular.",positive
Ada batunya iih (??)-? RT USER Hhem RT USER ~('o '~)(~' o')~ RT USER USER aduh beuh parah omongannya !!,neutral
"Each moment that lies ahead is the unknown, let's all face our unknowns with great triumph!",positive
"rehearsals from 8-11. one week till showtime, then taking a week break so I could visit Jersey then back at it again.. #Dance <3",positive
"USER I did like an hour ago, was checking out your pink nikes ;)",positive
Dying because the people in my twitter tough luck are kind of effed up.. #funny #funnyfriends #jokes #laughing,positive
I feel so much better and my voice is semi-normal.,positive
NaughtyNooNo1 thanks for following me on Twitter!,positive
Let's show everybody just how good we are tonight D USER USER USER USER USER USER USER,positive
cant wait to go driving tonight with USER -_- #scared,neutral
USER send me your # baby girl,neutral
may that all things go good today at Dacula high school.no drama lol,positive
Tweeter? Twits? Austin and Ally sure is creative. #omgihavetotwit,positive
School was going by fast until all you fuck niggas went back.,negative
USER please come to Manchester soon. I miss you. Oh and USER just don't wear a tshirt at all next time. #hehehe,neutral
Just posted a photo URL,neutral
Check out this great item: 26x1.5/1.75 Weinmann 519 Wheelset Quick Release URL,positive
Woo! So excited! first day of school!,positive
"USER What we were discussing just now does not scare me, what scares me is the discussion now #Insest",neutral
I use to only dream every once in awhile but these last few weeks i'v been having crazy yet real feeling dreams,negative
"?? R.I.P to my best friend,my grandma ? 2-21-1940 to 8-28-11 URL",positive
USER good job only me and you know what that means lol,positive
"Carrying a back full of book, a purse full of notebooks & a soccer game >> #KillMe",positive
I constantly see tweets about Arsenal on twitter. Thanks for keeping the world updated USER & USER . #HugeArsenalFans,positive
and then there's SNSD's Echo ;~;,neutral
"When you make the sacrifice in marriage, you're sacrificing not to each other but to unity in a relationship.Joseph Campbell.",negative
"smokin arts,wich informs broken hearts, she say Radio, We say RADIOO",negative
I'm about to fall asleep and I still have to babysit for 3 more hours,positive
USER great way to start the senior year,positive
I don't realgiveiv a fuck and my excuse is that I'm yandng n fre$H?,negative
"#Unmukt 's Lawyer has misunderstood the RTE, as being Degrees & Diplomas home-delivered. USER",neutral
USER a bunch of us at work are wearing ours.. However this jersey is on my nerves so I may change..,neutral
And now the time is more than 4pm.. So i should get ready.. Bubbye.,positive
"Yeah, you all sure do keep it classy #busted",positive
Oh my gosh! Can you imagine USER playing piano on her tour while singing a song. I would die and go to heaven. #sheisanangel,neutral
Cabin in the Woods udah release!!,neutral
USER oh my fucking god I love thaat! lol,positive
Why is there no crowd!? Shit la!,negative
USER What so are 3rd choice striker is waghorn #brilliant,positive
"Skoo iN the morningg , guess iMaa got to sleep .",neutral
great weather for my last day of summer,positive
Maths is on. URL,neutral
Busy night in work.. Sheesh! Bed now then #HappyBirthday to our BabyK!! (Gotta stop callin her that.. She starts school next week!) :(,negative
Ann Coulter is an idiot. Pretty sure she's drunk.,negative
Omagawd no more Jersey Shore!!,negative
USER USER USER USER USER USER USER someone else want to drive I can't be assed,neutral
Is good to hear other people's problem .. Because you will realise that your problems are small compare to them,positive
"USER From Saturday, active servicemen and NSmen can bring their camera-enabled smartphones into 14 army camps URL lol",positive
My Career is going to be Digital Art And Photography,neutral
Letters: Medical Imaging's Gains (1 Letter) URL,neutral
"You know that moment of satisfaction when you finally understand math? Yeah, me neither.",neutral
Love this: How To Hold A Violin - NOT! URL #classicalmusic #violin #musichumor,positive
USER I love working there was this and when did you #go,positive
USER who's Will? where's he being held?,neutral
Last weekend of freedom! #gottamakethiscount,neutral
Three foreign professors. One hippy that smokes and hacks computers. One TA. kind of cool,positive
"I wonder if you smile at my texts, like I smile at yours. :)",positive
these niggas bettin bags of chips. lmmfao. ican't,neutral
Watch my run right now with USER Live URL #RKLive #RunKeeper,positive
ignorance is a bliss,neutral
"Pentagon threatens legal action over bin Laden book - URL Yeah, that should help your re-election USER",positive
"So come on spin me around, now I don't want to go home cause when you hold me like this you know my heart skips #skipsabeat",neutral
CRAP. that's all.,negative
Starting my day off with some nice encouragement from my mom .. #awesomemorning,positive
"USER only because we love you, but later we will make fun of you #friends #bestbirthdayever",positive
think its amazing how people can actually learn a full script for films!,positive
Sydney billionaire James Packer keeps gloating about how much he's making out of Crown. City of Melb should double his rate bill to $14m.,positive
Wow. You sure know how to reel in the hotties,positive
iFrames are the way forward,neutral
Isnt there a #similarity bwn #SoniaGandhi and #BellatrixLestrange? #justasking,neutral
USER maybe the pirates will pick him up?,neutral
Going to chapel..alone. Oh how I love first days.,positive
Tunggu #TheAbsurdStory keluar!!,neutral
Nothing but rainbows and unicorns today at work! #ilovemyboss,neutral
